Player,My C Won,Hands,VPIP,BB/100
!BATTERSEA1,-$0.72,24,16.67,-60
"""73D""",$4.43,78,48.05,113.59
$$tar322,-$0.10,26,50,-7.69
$BurnabyTom$,$2.03,22,45.45,184.55
$CALP-J,$38.21,14504,12.76,5.27
$harkscoop$,-$10.49,2153,21.42,-9.74
$mokyJoe,-$0.15,13,7.69,-23.08
$stoi.pan$,-$1.23,1364,36.88,-1.8
(-:Terzzz:-),-$6.23,67,24.24,-185.97
*3iple_P*,-$0.59,70,37.68,-16.86
*Brokfild*,$1.64,4,50,820
-<J/7/L>-,-$4.45,271,19.33,-32.84
..**butchi 4,-$0.43,100,38.78,-8.6
0 Gorodok 0,-$2.00,35,48.57,-114.29
00ili00,-$7.78,354,40.34,-43.95
01.KOma,-$7.41,53,32.08,-279.62
0102196434,$3.60,480,31.51,15
0110011101,$0.66,336,25,3.93
04zone,-$3.31,82,25.61,-80.73
05403152,-$3.61,7,57.14,-1031.43
05udacha11,$2.46,103,25.24,47.77
077cristian977,-$5.00,13,100,-769.23
09ShRaM90,-$4.00,17,64.71,-470.59
0_baskervill,$27.25,1137,29.02,47.93
0kDen,-$2.00,8,71.43,-500
0Monkey0745,-$0.27,4,50,-135
0PTI-MEN,-$4.22,3626,16.02,-2.33
0RB BR0,-$0.33,588,21.16,-1.12
0rliksixteen,-$1.88,45,27.27,-83.56
0skold,-$5.85,16,56.25,-731.25
0zinwe,$0.28,7,71.43,80
100Silverado,$3.47,72,42.25,96.39
100tasaca,-$4.17,45,66.67,-185.33
1020310,-$2.88,14,42.86,-411.43
10478302,$0.92,9,44.44,204.44
10iqpoker,-$18.12,77,37.66,-470.65
10wraggm,-$5.00,65,46.15,-153.85
11 SLON 1776,-$0.32,5966,13.75,-0.11
1100min,-$0.50,69,21.74,-14.49
11hao11,-$2.00,4,75,-1000
11Sergey w,-$2.14,30,32.14,-142.67
1220jpsg,$1.15,72,69.01,31.94
12Arne345,-$20.11,659,20.88,-61.03
130gen,$15.83,1434,42.55,22.08
13aseka,$0.28,2,0,280
13JK12,$1.01,27,69.23,74.81
14-)YANIS(-08,-$6.56,109,27.1,-120.37
14010,-$10.80,391,47.44,-55.24
14Hahol88,-$17.77,141,84.17,-252.06
16070809,-$12.42,140,32.85,-177.43
171070,-$14.39,232,51.95,-124.05
17mattyb,-$9.02,1185,25.92,-15.22
18mal37,-$0.48,80,35,-12
1956mitchx,-$11.69,294,41.64,-79.52
1960claudio,-$2.20,2,100,-2200
1966Mustang66,$0.44,30,30,29.33
19720312,-$0.50,14,23.08,-71.43
19811208,$0.51,23,86.36,44.35
1983440,-$1.07,15,20,-142.67
1988xdawnx,$2.85,35,55.88,162.86
1993061427,$0.03,27,60,2.22
19alis85,$0.33,57,44.64,11.58
19argentum78,-$6.57,502,49.4,-26.18
19Dima87,-$0.49,105,28.57,-9.33
19Hou$e81,-$10.87,160,33.97,-135.87
19kam38,-$7.05,58,50,-243.1
19Metallica85,-$2.00,105,19.05,-38.1
19Vladimir83,$5.56,34,30.3,327.06
1christ-X,-$3.15,26,42.31,-242.31
1Dr.OZ,-$10.00,178,52.84,-112.36
1hisoka44,$1.54,116,15.65,26.55
1l0r,-$40.63,2854,23.79,-28.47
1luckyrosebud,$0.31,16,56.25,38.75
1Lugano,-$8.90,640,17.75,-27.81
1manshow813,$4.62,20,50,462
1nfinityTiLt890,-$0.57,44,28.57,-25.91
1NMS,$2.40,8,87.5,600
1no4ka_WoT_1985,$0.23,12,50,38.33
1Opa68,$1.00,82,18.29,24.39
1Payou,$0.44,106,17.31,8.3
1TatarMalay,$5.14,53,13.46,193.96
1tillit1,-$25.45,7302,12.83,-6.97
1ucky1uciano,$2.47,33,48.48,149.7
1Uto,-$2.21,8,37.5,-552.5
1valas,$0.25,2,50,250
1VilliP1,$15.60,220,60.47,141.82
200g M@wurst,-$3.89,69,55.88,-112.75
2018 Jayden,-$0.61,71,34.29,-17.18
2065933,$14.36,579,23.74,49.6
