,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
0,!_AM_GR00T,3.13,61,36.67,256.56,2.5,41.67
1,!oxygen451F,1.24,73,25.35,84.93,10.0,52.63
2,!Str^010,-3.47,194,57.51,-89.43,3.96,61.49
3,!× Evgen 12 ×!l,0.68,14,64.29,242.86,8.0,53.33
4,"""TIP""656",-1.26,101,32.67,-62.38,1.29,40.74
5,# K -T-7 #86,0.48,83,45.78,28.92,1.6,42.86
6,#1 seppy,-1.07,42,57.14,-127.38,0.56,26.32
7,#4BOBEOR,-4.76,716,37.45,-33.24,1.15,36.39
8,#___bemygob___#,-0.04,4,25.0,-50.0,0.0,0.0
9,#alemao#VJ,-1.19,8,100.0,-743.75,6.0,66.67
10,#DEDUARDO.CEO,0.83,17,58.82,244.12,4.0,57.14
11,#invicta1187,-0.98,6,100.0,-816.67,,80.0
12,$ Alex 530 $,-10.62,1153,55.81,-46.05,0.71,27.7
13,$$$OlegDN888,-0.12,40,22.5,-15.0,1.0,22.22
14,$a$ha-1506,-3.27,122,12.3,-134.02,1.0,43.48
15,$Atachi$777,-1.99,61,40.98,-163.11,1.12,29.03
16,$avageMazza,2.67,63,65.08,211.9,2.0,40.0
17,$BurnabyTom$,2.8,61,45.76,229.51,2.37,57.58
18,$CALLkovets,-4.05,225,34.08,-90.0,1.38,43.12
19,$CALP-J,21.62,5618,13.98,19.24,1.96,41.95
20,$Cansanção$A,-0.43,20,55.0,-107.5,1.29,42.86
21,$cooby74,1.49,26,34.62,286.54,2.33,63.64
22,$DarkLegacyX,-2.4,11,45.45,-1090.91,0.5,20.0
23,$delanvU$$R,7.7,751,34.63,51.26,1.71,49.12
24,$DollarDonk$,-0.02,18,11.11,-5.56,3.0,60.0
25,$dolly$`Endy`R1,-1.22,15,33.33,-406.67,1.0,25.0
26,$ergei37,-2.13,155,39.61,-68.71,1.92,36.76
27,$Francuz83$,7.04,755,24.64,46.62,1.01,33.1
28,$hady007,1.75,31,41.94,282.26,6.0,70.59
29,$Mr.BlamBlamo$,-0.66,21,42.86,-157.14,,85.71
30,$NickoShark$,5.53,428,42.62,64.6,2.13,41.38
31,$orbelo,0.36,161,66.46,11.18,1.85,46.54
32,$P0k$rLoRD$,-10.24,170,42.94,-301.18,3.59,65.83
33,$prizrak79$,0.12,146,26.76,4.11,1.3,28.89
34,$S<TASMAN>S$,-0.35,99,40.82,-17.68,0.52,20.59
35,$ST4CKS$102,-0.02,1,0.0,-100.0,0.0,0.0
36,$t0rK Nr. 1,1.77,142,26.43,62.32,1.83,43.14
37,$terl!ng,-0.85,20,30.0,-212.5,1.0,40.0
38,$tocky90,-1.58,2,50.0,-3950.0,0.0,0.0
39,$uperDimkA,0.21,25,33.33,42.0,,58.33
40,$VasiliBely$,-0.14,90,47.78,-7.78,2.44,52.0
41,$virid777,-0.94,28,57.14,-167.86,0.5,22.73
42,$XBP$,1.47,17,23.53,432.35,,85.71
43,$XplOsiOn420$,0.24,214,51.42,5.61,1.78,47.06
44,$ym$arn,-0.09,8,50.0,-56.25,,100.0
45,"''Oups!""370",-4.78,411,35.61,-58.15,1.16,37.08
46,(-:Terzzz:-),-0.04,186,23.91,-1.08,4.17,44.64
47,([Esson])123,-1.1,5,80.0,-1100.0,1.0,42.86
48,(Hutch)£2600,-1.55,433,42.0,-17.9,0.47,22.44
49,(ZAD),-0.4,37,24.32,-54.05,0.5,9.09
50,***bigNIKbig***,-1.36,11,27.27,-618.18,,100.0
51,***DaBeppo96***,16.43,1495,26.99,54.95,2.34,50.65
52,**-Sergey106,0.15,4,0.0,187.5,3.0,75.0
53,**Dedushk420,-3.03,37,44.44,-409.46,0.83,31.25
54,**POCZES1766,0.03,110,33.64,1.36,2.25,56.25
55,**SSSSSS**44,0.34,19,52.63,89.47,1.67,45.45
56,*1974N0B,-0.23,55,30.91,-20.91,2.0,38.46
57,*ApárA*,-7.65,274,68.38,-139.6,3.24,67.33
58,*Espacer*,-0.83,14,50.0,-296.43,1.0,41.67
59,*Itchy*0008,-0.89,77,58.44,-57.79,6.0,62.07
60,*Kolunio84*,-3.68,12,83.33,-1533.33,1.0,43.75
61,*r2d2*242,-4.25,113,52.21,-188.05,1.04,30.77
62,*VM*727,-10.49,13755,27.67,-3.81,1.37,33.76
63,+1.100 sorte,-1.06,22,59.09,-240.91,5.0,38.46
64,+STBLNSTb+,0.9,3,33.33,1500.0,0.0,0.0
65,",.RusPilot.,jw",-0.27,32,65.63,-42.19,0.82,39.13
66,-BigTix-002,-5.57,59,74.58,-472.03,1.17,37.5
67,-BOOU99-,-0.85,8,71.43,-531.25,0.75,37.5
68,-Danat-77777,-1.55,47,73.91,-164.89,1.56,46.3
69,-DiogoSanglard-,-2.13,80,75.0,-133.12,0.91,35.8
70,-Dub Nuggs-,-1.02,647,16.22,-7.88,2.0,38.24
71,-Hold'Em-253,3.98,748,11.44,26.6,1.32,32.17
72,-lmpi0n-,-6.71,222,45.21,-151.13,8.77,72.15
73,-N-O-C-79-,-0.01,1,0.0,-50.0,0.0,0.0
74,-naderman-1,1.43,105,34.31,68.1,1.55,39.53
75,-oOGoupyOo-,-0.36,46,34.78,-39.13,0.6,17.65
76,-RealMrNice-,0.03,22,18.18,6.82,0.0,0.0
77,-TemeR-9,-0.61,27,57.69,-112.96,1.43,50.0
78,..**butchi 4,-0.31,21,38.1,-73.81,3.0,37.5
79,...Deleteee~,4.78,1405,22.38,17.01,1.56,42.31
80,.Danilo_RSL1,0.01,19,36.84,2.63,1.0,22.22
81,.o0OTIMO0o.,2.07,117,33.33,88.46,1.24,42.62
82,/fAqm97,-8.44,91,42.86,-463.74,1.62,47.27
83,0 TARANTUL 0,0.05,8,12.5,31.25,2.0,40.0
84,0--jokah--0,-0.28,26,19.23,-53.85,0.0,0.0
85,0-overt,28.28,21673,13.82,6.52,2.06,40.3
86,0.Drake,-1.95,102,39.6,-95.59,1.5,39.13
87,0009711,-0.8,2,100.0,-2000.0,0.5,33.33
88,0010110010,6.83,3384,14.57,10.09,2.35,46.35
89,007_CasRoyal,-4.46,464,26.42,-48.06,2.46,46.0
90,007en,-9.96,605,38.25,-82.31,2.11,46.59
91,007jogabem,0.48,31,29.03,77.42,3.0,50.0
92,007TLEK,-0.8,5,60.0,-800.0,1.5,42.86
93,008sim,-0.04,84,77.38,-2.38,0.87,29.55
94,008slevin008,-0.22,24,29.17,-45.83,2.5,41.67
95,00_Nadia_00,-0.81,5,60.0,-810.0,0.0,0.0
96,00Clasens,-4.32,348,56.94,-62.07,0.78,25.62
97,00Eppich,1.24,76,43.84,81.58,1.5,42.86
98,00ili00,-2.33,287,39.16,-40.59,0.86,34.3
99,00kush7,2.25,75,54.67,150.0,0.8,25.0
100,01 SATAN,1.18,90,39.33,65.56,0.94,34.78
101,0102196434,-2.4,36,44.44,-333.33,1.57,44.0
102,01051991,-0.97,116,53.04,-41.81,1.45,46.6
103,010Ivan010,-1.19,187,28.49,-31.82,0.75,33.33
