"Player","My C Won","Hands","VPIP"
"j'ignoretamise","-$47.12","527","89.62"
"xhepi823","-$19.16","571","76.90"
"saxual","-$19.41","534","76.65"
"Rotttts","-$31.19","915","75.55"
"Antonyo_Selim","-$45.74","648","75.04"
"tigerzz21","-$22.81","596","74.15"
"luisferA10","-$21.28","809","63.35"
"yustas82","-$23.67","905","62.26"
"TeamM666","-$8.09","519","61.60"
"Pokerace1001","-$2.29","598","60.91"
"Christianchilla","-$36.00","614","59.51"
"slv7c","-$57.04","1,327","59.15"
"striko1144","-$202.66","5,482","58.95"
"Shark@ttack2020","-$22.92","547","58.30"
"mazanchik","-$11.61","533","57.82"
"SEB123RUS","-$14.61","799","57.72"
"davin.AFA","-$10.15","560","57.14"
"CaptainBrown22","-$34.80","829","56.90"
"Lantukh","-$33.70","1,262","56.77"
"Moc9H","-$3.27","785","55.89"
"cubicroot","-$68.76","1,757","55.80"
"DepressedJam","-$23.37","543","55.78"
"Sposito1973","-$158.02","2,446","55.26"
"birtswell","-$39.94","886","55.06"
"LemSF","-$17.53","827","54.46"
"maxlanfraconi","-$36.43","1,672","53.98"
"csoutto","-$22.26","752","53.69"
"JFgomez31","-$8.46","698","53.55"
"harrypotter99","-$20.25","2,327","53.52"
"SylwekGPoker","-$65.91","1,457","53.44"
"Ragen87","-$9.27","921","53.17"
"johnxl7","-$13.68","597","53.04"
"zoker6900","-$160.22","2,969","52.47"
"Courtmacdrummer","-$17.18","712","52.47"
"hacktheplanet87","-$17.20","616","52.21"
"GuerzoStar","-$17.82","536","50.57"
"TheBlade8525","-$33.20","7,896","50.35"
"Kompozitor27","-$10.73","851","50.30"
"rull777","-$11.85","632","50.16"
"AkyLa0135","-$18.92","632","49.76"
"19argentum78","-$6.57","502","49.40"
"Edike1998","-$7.99","541","49.26"
"ioaann67","-$20.31","556","49.09"
"Jaxon53","-$10.71","1,231","49.06"
"bbcoach1 cam","-$16.21","2,212","48.97"
"Klaus Klausovic","-$7.98","552","48.26"
"zecrai","-$67.66","983","47.90"
"Seeurbet","-$27.40","1,007","47.48"
"wkdmanwkd","-$4.32","1,059","47.23"
"Carevichko","-$29.20","1,115","46.81"
"pompieru_26","-$10.21","774","46.68"
"Lutz333","-$19.75","809","46.01"
"mapo9","-$16.97","1,408","45.32"
"easymeka","-$48.12","2,741","45.26"
"simsak","-$12.50","995","44.83"
"Koessianna","-$4.48","594","44.62"
"chrismand7","-$7.73","1,126","44.51"
