,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
158,10 blueberry 10,-32.12,14186,30.95,-11.32,1.65,35.8
288,1_MaNTeR_1,-26.68,2265,71.74,-58.9,1.67,44.3
312,1luckyrosebud,-34.52,1160,58.1,-148.79,1.16,41.77
429,30b08,-40.16,1466,70.95,-136.97,1.29,34.68
1007,Adam_W888,-34.59,7788,22.2,-22.21,1.99,45.18
1495,AleksP1970,-39.14,8013,16.48,-24.42,2.13,50.45
2098,andrei09_ibm,-29.13,5156,29.68,-28.25,2.2,39.47
2613,ArjunGautam88,-43.63,820,45.84,-266.04,4.31,75.04
2749,Artishell,-111.7,26078,26.89,-21.42,1.97,39.73
3168,badai2,-39.61,2344,52.19,-84.49,1.43,43.97
3223,baksbany777,-77.61,3636,87.98,-106.72,1.46,42.43
3330,BarBoss367,-53.96,1097,56.61,-245.94,1.13,41.44
3440,batorpeti,-35.43,8444,20.87,-20.98,2.08,39.57
3740,BernkasteI,-26.66,835,59.52,-159.64,2.15,52.8
3883,bigblue806,-48.7,4662,42.44,-52.23,1.53,44.08
3935,bigmars1,-82.79,3466,53.32,-119.43,0.6,27.82
3975,Biki1412,-35.2,5794,70.28,-30.38,0.93,31.16
4122,bLAcktorious,-31.0,3892,34.65,-39.83,2.43,50.2
4170,blinusgallius,-27.43,2004,38.65,-68.44,1.48,41.04
4189,bloomer777,-34.65,866,79.49,-200.06,1.77,49.06
4854,bunes001,-27.42,1315,57.02,-104.26,2.88,60.3
5033,caironluck,-34.19,588,59.63,-290.73,1.05,38.03
5585,Check2021Mate,-28.35,601,69.46,-235.86,1.71,52.57
5622,Chercov313,-25.03,1074,71.75,-116.53,0.34,15.2
5869,Cid s2,-59.57,2780,54.14,-107.14,1.46,36.97
5882,cinca1969,-49.48,2053,69.28,-120.51,3.69,57.39
6221,costelverdes112,-111.94,3307,93.01,-169.25,2.3,55.17
6696,DamirGarik,-25.51,3597,41.17,-35.46,0.57,20.22
6795,DaniilFro,-44.46,2451,46.66,-90.7,2.81,55.71
7059,Daytrix109,-48.4,3378,29.33,-71.64,3.13,59.07
7144,Deathfooll,-31.64,4721,40.06,-33.51,1.43,36.14
7220,DEGSM,-45.55,2809,43.52,-81.08,1.44,42.75
8153,DOREN2008RUS,-27.58,564,81.57,-244.5,0.37,20.64
8267,dragov358,-39.34,240,81.17,-819.58,3.89,73.6
8769,Eeaaw,-38.61,1468,56.16,-131.51,1.28,40.59
9148,ERB600,-27.76,5201,27.89,-26.69,0.53,21.61
9227,ErwinZoltan,-34.62,600,88.8,-288.5,0.92,36.95
9371,Evil Panda22222,-31.85,3913,42.7,-40.7,2.17,47.56
9491,Fabiogrss,-29.04,1843,58.68,-78.78,0.74,28.14
9544,fakin_buh,-35.97,260,77.52,-691.73,1.87,52.61
10685,Gardzilla7,-25.9,2309,28.0,-56.08,1.25,40.04
11022,Gilberto2332,-34.69,2156,33.75,-80.45,1.11,36.91
11047,ginolas69,-48.52,13591,63.21,-17.85,1.34,31.94
11141,gluhonemoj,-29.01,17914,21.83,-8.1,2.01,39.8
11149,GMillerr,-36.94,4931,34.73,-37.46,0.98,27.64
11228,goku27420,-37.17,6629,28.73,-28.04,3.1,52.96
11299,Goodspeed434,-33.92,2257,49.67,-75.14,3.48,55.59
11486,greyfox5310,-25.38,3565,42.31,-35.6,0.44,20.33
11542,Grow-san,-33.64,1015,56.96,-165.71,3.01,61.45
11812,H F T B 55,-28.41,665,77.64,-213.61,1.55,43.76
12982,In-Solem,-85.73,8160,31.94,-52.53,1.37,41.19
13442,jakeblues7,-25.95,1080,58.74,-120.14,0.64,26.68
13814,Jessi032,-25.95,3275,20.04,-39.62,2.17,45.71
14354,JosephClimberB,-40.71,2905,34.48,-70.07,1.48,41.35
14755,kajoope,-33.39,2740,56.15,-60.93,0.75,24.62
14790,kalita-1,-41.17,15839,41.13,-13.0,0.72,24.99
14965,Katala19993,-27.68,1126,66.76,-122.91,3.73,63.32
14973,katina1957,-30.88,1107,78.2,-139.48,0.39,17.15
15374,kingspawnn,-37.72,1389,36.18,-135.78,1.8,48.39
15575,KOBb888,-27.08,602,61.31,-224.92,2.56,55.46
15612,kokomimi701,-118.77,11342,44.38,-52.36,0.66,26.21
15795,KozyrievArt,-25.78,6368,26.69,-20.24,4.19,54.47
15844,krenz5,-27.52,2389,53.88,-57.6,0.82,27.25
16269,LarsCroft,-40.63,6302,29.63,-32.24,1.48,42.21
16725,liberator651,-27.07,1839,67.53,-73.6,1.78,44.09
16791,limettens554,-31.2,4083,25.4,-38.21,2.63,53.33
17151,lsnycto718,-26.6,2088,67.71,-63.7,1.88,48.67
17284,lucky kemal,-25.04,6821,27.65,-18.36,0.84,26.21
17297,Lucky_Sue_111,-30.18,780,64.94,-193.46,0.63,29.63
17523,LYAK451,-27.77,2472,57.82,-56.17,1.42,37.59
17589,m3lkiyway,-27.18,2057,57.62,-66.07,1.18,32.21
17744,maggiebrasil,-34.52,4943,27.29,-34.92,2.35,47.59
17982,Mamont17,-36.13,6380,38.23,-28.32,1.25,34.89
18223,margolin777,-63.59,3042,89.52,-104.52,1.59,36.06
19075,Michael@1647,-25.96,7955,14.78,-16.32,1.8,40.08
19118,MICKY-MAGIC,-43.06,775,46.69,-277.81,3.87,65.06
19247,Mikhail 28.1,-27.88,5434,46.98,-25.65,1.96,37.93
19531,MizzMeduza,-192.0,6884,46.01,-139.45,2.54,59.14
20032,mrgreen959,-25.83,7326,22.0,-17.63,1.7,42.11
20122,msdhoni5,-58.51,2942,79.29,-99.44,1.67,38.64
20248,murod666,-39.18,1020,59.98,-192.06,1.15,39.61
20768,NHgremio,-54.16,3889,44.62,-69.63,0.94,27.07
20770,Nhük50,-28.13,11063,45.66,-12.71,1.45,37.11
20949,NikolaiVladimir,-52.57,1745,72.78,-150.63,0.81,28.22
21027,NIX2013,-44.09,957,40.25,-230.36,1.27,46.9
21270,nvkzivan,-26.9,6552,36.37,-20.53,0.98,30.49
21499,Oleksii2517,-37.31,1450,72.99,-128.66,1.61,40.61
21630,OntheFlop171,-35.72,5950,54.61,-30.02,1.0,30.29
22149,patr1k_hirolla,-25.21,417,65.7,-302.28,0.66,26.86
22194,Paulinho NE,-33.1,767,80.5,-215.78,0.66,25.43
22236,pavel0032,-41.88,156,95.51,-1342.31,2.48,62.07
22443,perffect16,-29.82,11640,24.46,-12.81,1.37,32.17
22677,Piloto41,-26.46,160,97.48,-826.87,2.92,62.87
22756,pituwini,-27.0,1043,42.79,-129.43,3.84,63.29
22923,poker7734,-31.07,941,66.84,-165.09,0.85,30.54
22942,pokerczeki,-35.47,5379,58.91,-32.97,1.84,45.14
23554,QuixallCrossett,-31.9,445,82.84,-358.43,0.6,31.38
23665,radioXhead1,-59.82,3216,65.74,-93.0,1.07,38.73
24297,riad cheik59,-25.64,1452,75.16,-88.29,2.97,59.77
24320,richard4848,-30.28,4287,24.64,-35.32,1.2,33.7
24483,RKC1965,-27.98,1714,60.9,-81.62,1.53,38.87
24575,roboter2020,-28.81,380,90.13,-379.08,1.78,47.64
24666,RodStormm,-35.48,7356,21.13,-24.12,0.82,26.17
25138,RyuBe87,-25.17,1253,33.92,-100.44,2.33,53.38
25280,Sagean,-26.83,2521,39.37,-53.21,0.46,19.85
25349,salvoi44,-28.51,5093,47.13,-27.99,2.23,49.66
25665,Scavengers5,-31.36,1004,26.85,-156.18,3.45,60.87
25829,SecretMa,-28.4,1285,61.29,-110.51,0.75,28.36
25899,Senior_Surtees,-26.37,308,66.99,-428.08,1.81,51.3
26155,sgt strong,-32.85,2020,35.63,-81.31,1.07,40.59
26353,shony1980,-36.41,483,74.79,-376.92,0.63,32.57
26455,sieupeaici,-45.59,4362,31.28,-52.26,0.85,28.44
26992,sofaking1973,-32.54,3032,24.78,-53.66,1.1,33.93
27132,sp.D.bot,-27.92,446,49.1,-313.0,1.01,34.52
27197,specialist555,-31.73,2739,29.02,-57.92,2.05,51.1
27233,spin1964,-52.59,4028,38.87,-65.28,0.58,23.48
28119,tadao577,-28.92,5465,60.59,-26.46,0.8,22.95
28255,TaseevoInva,-34.3,3094,22.02,-55.43,1.42,40.47
28291,Tauben1,-46.73,2539,53.5,-92.02,0.66,24.58
28852,Thunderbird65,-51.92,6083,39.27,-42.68,1.31,39.59
28924,tigr522,-40.1,3114,48.24,-64.39,1.27,30.16
28957,tim660000,-37.22,3311,50.29,-56.21,1.51,42.63
29132,ToffeeTom81,-47.8,11040,28.74,-21.65,1.93,51.24
29374,Tourist737,-36.5,399,84.34,-457.39,0.89,33.26
29409,traktor_den,-26.91,606,94.35,-222.03,0.88,34.12
29457,trem_samara,-25.03,654,75.54,-191.36,3.85,62.57
29462,trente-sept,-32.39,2533,43.43,-63.94,2.38,58.05
29885,units101,-46.41,1110,59.55,-209.05,2.31,54.53
29961,v awguste 44,-35.98,6246,34.85,-28.8,3.1,59.22
30076,valeriafim,-26.39,2035,63.27,-64.84,1.43,40.5
30282,VELES3788,-30.45,6166,24.99,-24.69,0.62,21.76
30594,vitalya390,-41.54,1543,58.85,-134.61,1.86,44.93
30860,Vovash1958,-29.54,2437,40.02,-60.61,2.01,48.67
30905,VTN*81,-43.13,7180,37.05,-30.03,1.78,38.18
30923,vvp.ozr,-38.02,2254,33.77,-84.34,2.0,59.39
30969,Wagtail444,-35.08,962,29.98,-182.33,4.01,67.18
31217,Whitey683,-38.92,877,56.83,-221.89,1.6,47.81
31302,wilso52,-46.97,1304,66.79,-180.1,1.73,52.44
31459,wstway,-25.46,3428,42.84,-37.14,0.87,20.8
31506,X1_MAT_1X,-61.13,11555,25.67,-26.45,1.53,39.7
31787,yakfolge,-42.38,8106,46.73,-26.14,1.45,36.36
31842,yashushpan,-26.87,242,38.43,-555.17,2.13,40.0
31897,yjqian23,-32.03,13718,23.14,-11.67,3.06,56.14
32011,yur4ik777,-40.35,17366,16.96,-11.62,2.6,47.71
32254,zhdipakety,-53.0,5143,45.91,-51.53,0.83,35.17
32434,zsolt1972051,-62.47,2419,62.24,-129.12,0.98,35.6
32519,ZZZPredator,-31.83,5628,32.35,-28.4,1.55,38.45
