,Player,My C Won,Hands,VPIP,BB/100
0,$harkscoop$,-10.49,2153,21.42,-9.74
1,$stoi.pan$,-1.23,1364,36.88,-1.8
2,0PTI-MEN,-4.22,3626,16.02,-2.33
3,0RB BR0,-0.33,588,21.16,-1.12
4,11 SLON 1776,-0.32,5966,13.75,-0.11
5,12Arne345,-20.11,659,20.88,-61.03
6,17mattyb,-9.02,1185,25.92,-15.22
7,19argentum78,-6.57,502,49.4,-26.18
8,1l0r,-40.63,2854,23.79,-28.47
9,1Lugano,-8.9,640,17.75,-27.81
10,1tillit1,-25.45,7302,12.83,-6.97
11,9zocker9,-6.72,664,20.43,-20.24
12,<!>E H P ! P,-2.03,664,11.74,-6.11
13,__majkeL_102,-64.53,13196,21.19,-9.78
14,a-limejunior,-4.83,683,25.71,-14.14
15,A.DOD4,-22.96,1627,20.63,-28.22
16,A319-100,-0.04,774,24.25,-0.1
17,abobora71,-1.35,2847,15.29,-0.95
18,ACD_198276,-2.54,1319,20.99,-3.85
19,adserben,-10.68,1516,27.6,-14.09
20,Agats0220,-32.52,1610,22.43,-40.4
21,aiken705401,-28.51,882,33.41,-64.65
22,aivars6969,-10.81,1745,22.02,-12.39
23,AkyLa0135,-18.92,632,49.76,-59.87
24,Aleeeeena,-6.5,508,22.77,-25.59
25,alek115,-18.57,983,16.32,-37.78
26,Aleksandr057,-4.35,1034,11.3,-8.41
27,alex7241183,-14.99,617,24.84,-48.59
28,Alonzomozley,-6.65,511,10.24,-26.03
29,Altar-SA,-1.37,542,43.74,-5.06
30,alystair,-1.07,953,26.5,-2.25
31,Alythess,-11.23,524,26.2,-42.86
32,andrey354,-2.17,546,21.44,-7.95
33,Antonyo_Selim,-45.74,648,75.04,-141.17
34,AntonZA,-6.33,566,26.65,-22.37
35,anui,-6.09,1832,27.55,-6.65
36,artem pot,-14.39,760,29.28,-37.87
37,Artur16228,-0.32,1147,14.93,-0.56
38,asanov89,-19.1,2016,27.91,-18.95
39,Ascobarran,-6.56,680,14.05,-19.29
40,Askeha87,-27.21,584,42.86,-93.18
41,AssamTea87,-6.87,1057,31.71,-13.0
42,AssosManiki,-23.72,559,24.19,-84.87
43,attilathenun,-18.65,733,24.31,-50.89
44,Atum[Psk],-0.11,6472,12.39,-0.03
45,Autolik,-1.27,1327,32.95,-1.91
46,avg35,-1.61,991,18.02,-3.25
47,AWL-in9,-12.34,550,37.25,-44.87
48,AyeGee,-4.11,1476,19.73,-5.57
49,ayusssha,-37.8,8530,13.93,-8.86
50,b.l.w.dubs,-7.58,568,19.01,-26.69
51,babayka79,-8.85,1956,22.33,-9.05
52,bacotero,-8.6,562,19.18,-30.6
53,badgoold,-28.85,908,29.71,-63.55
54,baligo666,-81.49,11886,21.95,-13.71
55,bankasguhi,-24.9,1194,16.09,-41.71
56,barracuda117,-8.29,944,23.61,-17.56
57,bascketman,-2.79,755,18.45,-7.39
58,Batman9994,-2.58,652,30.62,-7.91
59,BBBroo99,-1.44,554,31.27,-5.2
60,bbcoach1 cam,-16.21,2212,48.97,-14.66
61,beastieboy1979,-9.98,1151,34.92,-17.34
62,beaucoupjoir,-8.82,805,17.46,-21.91
63,besocialmx,-18.4,1515,17.48,-24.29
64,bexley69,-1.93,995,25.35,-3.88
65,Big Pun 1314,-0.41,1294,19.97,-0.63
66,BILLYSKLA,-13.69,515,32.94,-53.17
67,birtswell,-39.94,886,55.06,-90.16
68,Black HoleUK,-21.81,8664,16.24,-5.03
