"Player","My C Won","Hands","VPIP","BB/100"
"$harkscoop$","-$10.49","2,153","21.42","-9.74"
"$stoi.pan$","-$1.23","1,364","36.88","-1.80"
"0PTI-MEN","-$4.22","3,626","16.02","-2.33"
"0RB BR0","-$0.33","588","21.16","-1.12"
"11 SLON 1776","-$0.32","5,966","13.75","-0.11"
"12Arne345","-$20.11","659","20.88","-61.03"
"17mattyb","-$9.02","1,185","25.92","-15.22"
"19argentum78","-$6.57","502","49.40","-26.18"
"1l0r","-$40.63","2,854","23.79","-28.47"
"1Lugano","-$8.90","640","17.75","-27.81"
"1tillit1","-$25.45","7,302","12.83","-6.97"
"9zocker9","-$6.72","664","20.43","-20.24"
"<!>E H P ! P","-$2.03","664","11.74","-6.11"
"__majkeL_102","-$64.53","13,196","21.19","-9.78"
"a-limejunior","-$4.83","683","25.71","-14.14"
"A.DOD4","-$22.96","1,627","20.63","-28.22"
"A319-100","-$0.04","774","24.25","-0.10"
"abobora71","-$1.35","2,847","15.29","-0.95"
"ACD_198276","-$2.54","1,319","20.99","-3.85"
"adserben","-$10.68","1,516","27.60","-14.09"
"Agats0220","-$32.52","1,610","22.43","-40.40"
"aiken705401","-$28.51","882","33.41","-64.65"
"aivars6969","-$10.81","1,745","22.02","-12.39"
"AkyLa0135","-$18.92","632","49.76","-59.87"
"Aleeeeena","-$6.50","508","22.77","-25.59"
"alek115","-$18.57","983","16.32","-37.78"
"Aleksandr057","-$4.35","1,034","11.30","-8.41"
"alex7241183","-$14.99","617","24.84","-48.59"
"Alonzomozley","-$6.65","511","10.24","-26.03"
"Altar-SA","-$1.37","542","43.74","-5.06"
"alystair","-$1.07","953","26.50","-2.25"
"Alythess","-$11.23","524","26.20","-42.86"
"andrey354","-$2.17","546","21.44","-7.95"
"Antonyo_Selim","-$45.74","648","75.04","-141.17"
"AntonZA","-$6.33","566","26.65","-22.37"
"anui","-$6.09","1,832","27.55","-6.65"
"artem pot","-$14.39","760","29.28","-37.87"
"Artur16228","-$0.32","1,147","14.93","-0.56"
"asanov89","-$19.10","2,016","27.91","-18.95"
"Ascobarran","-$6.56","680","14.05","-19.29"
"Askeha87","-$27.21","584","42.86","-93.18"
"AssamTea87","-$6.87","1,057","31.71","-13.00"
"AssosManiki","-$23.72","559","24.19","-84.87"
"attilathenun","-$18.65","733","24.31","-50.89"
"Atum[Psk]","-$0.11","6,472","12.39","-0.03"
"Autolik","-$1.27","1,327","32.95","-1.91"
"avg35","-$1.61","991","18.02","-3.25"
"AWL-in9","-$12.34","550","37.25","-44.87"
"AyeGee","-$4.11","1,476","19.73","-5.57"
"ayusssha","-$37.80","8,530","13.93","-8.86"
"b.l.w.dubs","-$7.58","568","19.01","-26.69"
"babayka79","-$8.85","1,956","22.33","-9.05"
"bacotero","-$8.60","562","19.18","-30.60"
"badgoold","-$28.85","908","29.71","-63.55"
"baligo666","-$81.49","11,886","21.95","-13.71"
"bankasguhi","-$24.90","1,194","16.09","-41.71"
"barracuda117","-$8.29","944","23.61","-17.56"
"bascketman","-$2.79","755","18.45","-7.39"
"Batman9994","-$2.58","652","30.62","-7.91"
"BBBroo99","-$1.44","554","31.27","-5.20"
"bbcoach1 cam","-$16.21","2,212","48.97","-14.66"
"beastieboy1979","-$9.98","1,151","34.92","-17.34"
"beaucoupjoir","-$8.82","805","17.46","-21.91"
"besocialmx","-$18.40","1,515","17.48","-24.29"
"bexley69","-$1.93","995","25.35","-3.88"
"Big Pun 1314","-$0.41","1,294","19.97","-0.63"
"BILLYSKLA","-$13.69","515","32.94","-53.17"
"birtswell","-$39.94","886","55.06","-90.16"
"Black HoleUK","-$21.81","8,664","16.24","-5.03"
"Blazar1133","-$7.97","1,482","23.62","-10.76"
"BluffOnTable","-$2.91","12,946","12.32","-0.45"
"BMF1393","-$30.08","4,728","28.25","-12.72"
"bober2702","-$1.76","1,070","19.62","-3.29"
"Bobertul","-$15.02","2,130","17.75","-14.10"
"Bobudebob","-$15.80","673","42.92","-46.95"
"bodenleger","-$9.53","4,469","14.79","-4.26"
"BOSS_Ecuador","-$12.70","972","38.20","-26.13"
"BRMP1","-$1.92","532","22.60","-7.22"
"brunomaia42","-$1.90","575","26.80","-6.61"
"BrykmiD","-$26.84","4,484","16.54","-11.97"
"Bubbla85","-$5.32","905","40.13","-11.76"
"Bucica901","-$12.30","734","29.95","-33.51"
"bumasa","-$29.15","1,754","33.64","-33.24"
"Bummibaby","-$7.41","13,514","18.75","-1.10"
"Buzz3434","-$7.10","1,374","21.63","-10.33"
"BuZZer_MFL","-$21.16","550","31.19","-76.95"
"bxr23ps","-$4.38","1,608","8.53","-5.45"
"c4ll314","-$14.35","1,366","23.82","-21.01"
"CaptainBrown22","-$34.80","829","56.90","-83.96"
"Carevichko","-$29.20","1,115","46.81","-52.38"
"CarlosECRuiz","-$23.18","4,249","32.87","-10.91"
"CasinoReal46","-$13.93","990","13.66","-28.14"
"CC7A","-$9.66","668","40.00","-28.92"
"cgm_vip","-$8.15","1,754","29.15","-9.29"
"chaimbers","-$2.50","1,232","14.03","-4.06"
"ChipakL228","-$12.39","812","12.00","-30.52"
"chrismand7","-$7.73","1,126","44.51","-13.73"
"Christianchilla","-$36.00","614","59.51","-117.26"
"chudak1000","-$0.85","9,181","15.43","-0.19"
"clarence0061","-$13.86","624","31.72","-44.42"
"cmrbskeggy","-$31.95","992","29.47","-64.42"
"ColinCave","-$3.67","1,395","30.78","-5.26"
"com3_truise","-$5.86","794","12.69","-14.76"
"coolDadJimbo","-$13.80","1,162","20.28","-23.75"
"coopermanjo","-$4.22","521","20.83","-16.20"
"Costel005","-$29.26","551","39.01","-106.21"
"Courtmacdrummer","-$17.18","712","52.47","-48.26"
"Coyote1895","-$97.48","2,033","27.83","-95.90"
"cristopua","-$11.17","704","25.40","-31.73"
"csoutto","-$22.26","752","53.69","-59.20"
"CT_Mush","-$8.64","1,115","26.38","-15.50"
"cubicroot","-$68.76","1,757","55.80","-78.27"
"cunen woret","-$15.73","2,234","13.16","-14.08"
"Da Newf","-$14.37","1,815","14.83","-15.83"
"daigoroKK","-$4.46","815","16.75","-10.94"
"dak77777","-$24.12","1,902","23.59","-25.36"
"dallas249","-$11.66","1,092","22.95","-21.36"
"damkas1989","-$5.70","2,083","15.31","-5.47"
"dan74t","-$14.86","965","22.95","-30.80"
"Dandi52105","-$9.12","1,383","14.62","-13.19"
"Daniel-San775","-$1.16","2,814","13.67","-0.82"
"dannydanger","-$18.92","1,527","21.92","-24.78"
"DanRussel","-$0.27","1,046","16.68","-0.52"
"darcgbbs","-$30.12","3,105","39.24","-19.40"
"daro506","-$18.08","1,380","14.84","-26.20"
"davamartiro","-$35.33","1,500","43.46","-47.11"
"davin.AFA","-$10.15","560","57.14","-36.25"
"DBlack54","-$10.01","2,669","26.96","-7.50"
"Denis9-L","-$40.73","1,119","23.16","-72.80"
"Denis_T8s","-$4.96","10,915","18.40","-0.91"
"DenyLi","-$4.36","739","15.24","-11.80"
"DepressedJam","-$23.37","543","55.78","-86.08"
"desdinova13","-$15.58","2,048","28.31","-15.21"
"DesperatDawg","-$37.13","967","24.79","-76.79"
"Devoi2022","-$15.76","816","30.00","-38.63"
"dibidibidis","-$5.89","975","13.24","-12.08"
"Djailson Rufino","-$9.24","723","24.97","-25.56"
"dm291","-$16.31","1,239","16.56","-26.33"
"DmitryS79","-$2.84","723","17.48","-7.86"
"dnova1322","-$4.76","2,998","23.84","-3.18"
"doberman6665","-$1.74","1,763","15.94","-1.97"
"DobrqjDed","-$13.02","1,983","21.01","-13.13"
"DodgeGTS4","-$2.15","1,799","37.87","-2.39"
"DOG FOOOD","-$16.38","1,783","9.43","-18.37"
"DonHagman","-$5.45","502","9.64","-21.71"
"dovdon","-$48.14","2,018","38.04","-47.71"
"doylejackw","-$22.97","528","21.63","-87.01"
"Dr. Carvalhu","-$9.62","581","19.93","-33.12"
"Dragnst25","-$3.09","607","33.33","-10.18"
"drAVR11","-$10.56","841","31.50","-25.11"
"dron040988","-$14.10","897","39.62","-31.44"
"DSilver","-$18.08","1,465","16.59","-24.68"
"DudeRanch97","-$0.75","531","23.53","-2.82"
"Duile672","-$1.19","1,045","30.69","-2.28"
"DwrongOne","-$34.30","9,678","30.19","-7.09"
"Dyicha","-$0.23","1,460","33.31","-0.32"
"Dzirtorden","-$38.68","15,686","8.45","-4.93"
"easymeka","-$48.12","2,741","45.26","-35.11"
"EB0LARAMA","-$35.18","3,742","23.89","-18.80"
"ebridgen","-$8.58","1,096","35.09","-15.66"
"Edike1998","-$7.99","541","49.26","-29.54"
"edoschenko","-$21.88","4,381","17.98","-9.99"
"Edu.neto89","-$18.05","527","36.47","-68.50"
"Ekim1948","-$23.94","1,493","20.34","-32.07"
"El Manske","-$0.89","3,146","15.38","-0.57"
"EMAZC07","-$6.40","1,368","19.69","-9.36"
"EmulationX","-$19.87","2,548","16.40","-15.60"
"Escogido70","-$22.14","649","42.02","-68.23"
"Eternitypoker","-$66.63","1,754","27.82","-75.97"
"Eug6789","-$3.37","531","37.86","-12.69"
"Every1zDeadDave","-$10.44","665","43.64","-31.40"
"F_DiasRamos","-$9.58","1,522","28.73","-12.59"
"FACCHETADE$","-$17.33","6,194","22.38","-5.60"
"faddei93","-$12.86","675","20.00","-38.10"
"Fantasticist","-$23.65","1,156","18.52","-40.92"
"FaraonEngels","-$6.20","1,419","29.42","-8.74"
"FatosAdos","-$0.68","2,594","19.41","-0.52"
"FAVN876","-$5.38","2,233","20.88","-4.82"
"fbjensen777","-$21.19","874","42.69","-48.49"
"feexer","-$7.96","966","12.72","-16.48"
"fish-swor327","-$14.85","1,411","20.13","-21.05"
"flacoboris","-$21.75","3,389","10.86","-12.84"
"Fogarashvili","-$10.02","542","20.56","-36.97"
"fomik33","-$7.68","10,259","26.86","-1.50"
"foofandpecks","-$0.05","898","14.41","-0.11"
"ForZaAriNdal","-$23.98","3,026","21.31","-15.85"
"ForzaMi","-$13.83","1,183","34.04","-23.38"
"frans0909","-$3.17","800","39.55","-7.92"
"Frol 21208","-$24.17","1,803","15.83","-26.81"
"FULLFREEDOM","-$8.19","759","23.29","-21.58"
"furaromniaate","-$6.51","1,585","30.03","-8.21"
"fylhtq123","-$0.47","633","24.80","-1.48"
