,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
19,$CALP-J,21.62,5618,13.98,19.24,1.96,41.95
70,-Dub Nuggs-,-1.02,647,16.22,-7.88,2.0,38.24
71,-Hold'Em-253,3.98,748,11.44,26.6,1.32,32.17
85,0-overt,28.28,21673,13.82,6.52,2.06,40.3
88,0010110010,6.83,3384,14.57,10.09,2.35,46.35
104,010Tony010,-7.07,26896,9.88,-1.31,4.42,47.7
122,07cezar,4.45,2050,19.23,10.85,1.51,39.86
136,0ldestman,-0.89,521,16.83,-8.54,3.0,50.47
143,0PTI-MEN,31.72,8838,17.5,17.95,2.19,44.88
153,1 Icu,-6.66,2499,14.99,-13.33,0.37,8.16
188,123Tip123,13.0,3167,19.24,20.52,1.42,34.64
202,139qmb,3.15,1880,17.96,8.38,1.64,32.94
213,14Grant,4.07,7700,10.77,2.64,1.99,32.55
224,16Shagynko16,-5.14,5021,18.49,-5.12,1.41,40.09
290,1Asthma1,61.25,17330,13.45,17.67,1.93,34.42
336,1tillit1,34.7,14678,14.32,11.82,1.96,36.37
386,2700172,4.9,3333,12.43,7.35,1.15,32.28
396,2after909,23.1,2624,14.01,44.02,3.7,56.08
455,3gls,23.72,9785,18.25,12.12,1.6,36.66
494,4Liverpool44,1.05,514,12.89,10.21,1.58,34.88
544,60centPoker,5.65,3420,12.22,8.26,4.15,42.59
545,60münchen,-0.05,625,12.72,-0.4,2.0,40.0
558,666killerman,11.66,3103,16.71,18.79,2.28,48.02
570,6am600K,11.81,2571,19.34,22.97,2.17,41.57
717,<!>E H P ! P,7.87,3304,13.69,11.91,1.55,36.96
822,AA Cepera AA,28.5,5729,8.44,24.85,0.59,13.67
846,AAB59,-5.88,808,16.0,-36.39,1.74,35.76
858,AApalestraAA,-4.06,1891,18.0,-10.74,1.91,35.59
863,aaron894,18.17,10670,15.22,8.51,2.77,44.68
887,abbi555,12.94,2623,15.46,24.67,1.1,25.69
912,Abonka,0.4,9231,19.25,0.22,1.6,29.36
949,Ace_Age 81,4.8,1233,16.26,19.46,1.37,39.81
981,ACKETT,0.12,653,19.35,0.92,1.41,35.2
983,aclee77,-9.5,2147,18.79,-22.12,2.03,44.32
1069,Admiral_Berl,-2.39,2240,14.3,-5.33,0.78,25.53
1073,adnilsonro77,4.56,697,16.02,32.71,1.26,38.41
1124,Aepinephrine,7.09,4685,18.22,7.57,1.59,39.7
1132,AFEW007,2.12,1008,17.0,10.52,2.31,46.31
1138,Aflil1966,-9.36,7754,18.97,-6.04,1.8,38.7
1171,Agetro,-1.85,2590,14.09,-3.57,6.04,55.82
1194,agrojilier,1.04,4652,13.49,1.12,2.83,47.27
1208,ahamiyatsiz,70.81,22464,15.41,15.76,2.91,48.52
1270,airdestiny,24.16,11614,18.29,10.4,3.8,40.46
1280,aizen051194,3.38,1003,8.3,16.85,1.49,37.67
1317,AkilaN222,-6.59,1185,16.19,-27.81,1.87,33.49
1323,Akisey44,-9.88,5020,19.27,-9.84,1.75,39.46
1335,AKontPoker,0.8,504,16.73,7.94,6.0,48.28
1374,AlAnShv,-7.58,2194,15.38,-17.27,2.51,43.32
1398,AlbSabitov,-12.12,3298,19.13,-18.37,1.52,27.27
1408,alcoyano,-2.36,981,15.35,-12.03,2.33,51.94
1439,Alehta,12.56,4703,16.28,13.35,1.87,39.66
1447,ALEKS 1839,1.47,1774,19.14,4.14,0.66,22.88
1451,Aleks120483,-3.9,3564,17.27,-5.47,1.59,31.36
1463,Aleksandr057,11.95,2363,10.92,25.29,3.31,38.51
1495,AleksP1970,-39.14,8013,16.48,-24.42,2.13,50.45
