,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
12,$ Alex 530 $,-10.62,1153,55.81,-46.05,0.71,27.7
151,1 Barão,-10.89,928,51.35,-58.67,1.09,36.82
156,1. Roman K,-11.99,1983,44.82,-30.23,0.83,29.63
194,130gen,18.9,2340,50.39,40.38,1.43,38.11
207,13MAYA23,-0.65,629,44.46,-5.17,0.52,21.45
211,1445choc,-13.58,562,44.11,-120.82,0.47,20.49
247,1978838,-0.93,607,47.11,-7.66,2.15,44.47
254,1986supremo,-2.01,542,53.35,-18.54,1.29,31.37
261,19albars89,-15.53,2280,48.56,-34.06,0.91,32.95
266,19Dima87,-0.77,3530,43.81,-1.09,1.25,32.84
288,1_MaNTeR_1,-26.68,2265,71.74,-58.9,1.67,44.3
298,1D3MS,-1.73,751,50.47,-11.52,1.93,33.84
312,1luckyrosebud,-34.52,1160,58.1,-148.79,1.16,41.77
342,1xWeisswurst,-14.66,1751,45.35,-41.86,2.05,55.85
347,2040800,-6.64,4530,40.96,-7.33,2.55,49.29
352,20pra,-2.09,566,72.42,-18.46,0.91,31.31
429,30b08,-40.16,1466,70.95,-136.97,1.29,34.68
440,3637D,-14.18,652,43.96,-108.74,1.43,40.11
443,37.589,-13.92,1783,42.98,-39.04,1.6,37.67
513,5258pb,1.8,5816,43.71,1.55,1.56,40.68
515,554407,-17.6,812,86.88,-108.37,1.48,40.0
535,5oyeH,-16.65,977,62.78,-85.21,1.16,34.36
541,6.2l#amg,-11.67,617,48.45,-94.57,1.38,39.4
628,7liwa1985,-1.92,1048,48.8,-9.16,1.18,33.98
639,7ymbo,-9.24,578,62.89,-79.93,1.78,50.63
693,966355,-11.98,897,45.57,-66.78,1.94,48.82
711,9kaa,4.83,881,45.14,27.41,1.18,35.04
727,@jessejced,-10.16,587,43.0,-86.54,1.89,48.2
759,_ALF_949,-0.92,859,62.11,-5.36,1.36,41.03
781,A capp419,-21.1,540,51.86,-195.37,1.75,50.25
819,A_Kenny_A,11.39,2796,44.2,20.37,0.95,28.99
820,a_tonis6,-1.72,696,41.85,-12.36,1.87,47.75
891,abdrashitov80,-16.64,595,72.01,-139.83,1.41,37.71
952,Acehool,-17.23,1436,45.58,-59.99,0.82,31.18
968,achaojunior,-0.33,571,44.89,-2.89,2.84,51.56
972,achilles3976,3.12,640,71.47,24.37,1.09,38.13
1036,adept-ser,-22.54,3143,61.88,-35.86,1.59,37.55
1099,Adriantoo,-6.31,1004,57.23,-31.42,2.66,54.73
1103,Adrio288,3.16,532,72.49,29.7,1.54,42.11
1120,Aeneas1988,-8.01,1108,72.03,-36.15,1.56,40.96
1183,Agradil1992,9.54,712,42.68,66.99,2.33,50.1
1192,agro-poker7,-3.12,641,46.17,-24.34,1.75,44.35
1199,Aguardente2,-1.65,1859,48.46,-4.44,2.36,50.07
1308,akashass813,-14.49,724,55.99,-100.07,1.96,47.85
1351,al0pez21,-7.98,622,45.47,-64.15,0.79,30.47
1504,alena397,8.22,1180,41.06,34.83,1.06,32.33
1511,aleotaij1,-4.44,658,42.6,-33.74,1.54,45.91
1591,alexan685,4.21,1082,58.36,19.45,2.16,45.73
1603,Alexandr_Ol,-8.11,3378,51.8,-12.18,2.22,45.47
1679,alexkidG4,-9.33,528,50.0,-88.35,1.61,42.47
1697,alexofwaterdown,5.11,763,66.53,33.49,1.21,38.01
1770,alienkappa1,-9.22,1154,43.77,-39.95,1.99,46.01
1885,alternativa232,-7.06,1341,41.41,-26.32,1.55,41.81
2018,ancelly8888,-5.18,558,49.01,-46.42,2.01,48.15
2043,AnderX6,-2.95,1487,56.93,-9.52,0.67,21.93
2045,Andi Grill,18.02,521,55.02,172.94,3.38,58.52
2080,AndreCh127,7.34,730,47.73,50.27,4.48,56.61
2137,andrethepate,-14.94,770,51.96,-97.01,1.54,39.68
2181,Andrey77705,-11.94,1537,45.74,-38.84,0.45,18.35
2219,AndroidChit,1.9,783,59.49,12.13,2.3,51.0
2272,anetaka42,-9.88,970,49.59,-50.93,1.36,34.15
2347,Anonim822,3.87,545,50.37,35.5,1.6,42.53
2352,ans0506,19.03,623,60.62,152.73,1.98,51.9
2409,AntonelliJah,37.7,3013,46.22,62.56,3.43,49.86
2478,Aphis791,-6.19,2154,41.06,-14.37,1.89,39.61
2499,App1432,-3.61,651,41.91,-27.73,3.92,55.06
2518,AquariusToxa,-4.57,750,49.33,-30.47,2.11,51.3
2613,ArjunGautam88,-43.63,820,45.84,-266.04,4.31,75.04
2718,Artem1986(Nsk),-1.34,2229,41.96,-3.01,1.42,34.85
2722,Artem666428,-12.59,1016,64.69,-61.96,1.31,41.32
2868,Asszonyvero,-1.24,527,40.27,-11.76,2.29,45.65
2894,ataka850,-1.95,823,42.05,-11.85,3.08,51.77
2933,attila947,-15.41,10222,44.36,-7.54,4.94,61.39
2938,atzi11,6.03,1109,52.72,27.19,1.32,40.65
2972,AV-fitness,-5.82,1655,40.24,-17.58,1.32,36.39
2974,av_termit,-8.43,1201,50.38,-35.1,2.01,55.34
2977,AvDen_UA,0.41,613,43.19,3.34,0.77,26.74
