,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
85,0-overt,28.28,21673,13.82,6.52,2.06,40.3
143,0PTI-MEN,31.72,8838,17.5,17.95,2.19,44.88
290,1Asthma1,61.25,17330,13.45,17.67,1.93,34.42
336,1tillit1,34.7,14678,14.32,11.82,1.96,36.37
822,AA Cepera AA,28.5,5729,8.44,24.85,0.59,13.67
854,Aaleks111,47.74,4514,23.28,52.88,2.83,52.36
1208,ahamiyatsiz,70.81,22464,15.41,15.76,2.91,48.52
1519,alevseev83,26.4,1538,24.23,85.83,2.63,51.62
1851,Almanza63,34.88,7826,21.05,22.28,1.95,40.61
2409,AntonelliJah,37.7,3013,46.22,62.56,3.43,49.86
2450,Any Nox,64.35,31321,11.75,10.27,2.57,41.93
2497,Apostol108,38.92,11488,16.31,16.94,2.6,44.91
2691,ARSENY2,52.56,12225,14.15,21.5,4.27,48.29
2793,asan80,48.38,4334,23.18,55.81,1.3,39.52
2867,AssosManiki,43.8,17085,25.46,12.82,1.41,33.35
2932,attila225,53.88,19158,14.68,14.06,0.95,24.47
2995,Avorazh,58.05,15383,20.48,18.87,0.86,31.67
3186,badrun85,34.3,3453,21.1,49.67,1.87,39.86
3317,Bar_suk_077,44.82,17511,20.96,12.79,1.52,37.73
3502,bch_12345,44.66,8391,22.06,26.61,1.57,35.82
4009,BiM-WiNNeR,69.5,18280,14.29,19.01,3.25,42.71
4104,Blackdeath699,27.48,2513,23.87,54.68,1.66,39.88
4186,bloody55hawk,25.75,15444,19.71,8.34,2.65,39.14
4274,bober2702,30.75,8618,15.71,17.84,2.02,45.51
4636,brest36,48.91,11457,13.29,21.35,1.68,33.66
4929,bvbsge84,39.14,5969,24.27,32.79,2.87,51.01
4954,byshwa4ka,51.24,6076,19.56,42.17,1.91,44.38
5084,Camezzz,43.21,11440,15.39,18.89,4.8,58.54
5095,campaxl,35.73,2453,22.99,72.83,2.66,51.76
5215,carlos674820,61.97,18324,12.09,16.91,1.25,31.22
5498,chameleon60,58.93,10904,13.86,27.02,1.86,38.51
5941,clasohson,25.04,8308,21.76,15.07,1.03,34.23
5942,ClassCley,25.51,2745,13.34,46.47,3.36,46.53
6094,ComancheY,41.46,6103,36.79,33.97,2.46,49.78
6114,conej,78.03,32294,16.27,12.08,1.32,33.61
6272,cr@sh test,58.87,11488,17.18,25.62,2.85,47.88
6556,d.moura88,29.58,14489,10.53,10.21,3.79,51.45
6638,Dago1984,27.0,8468,35.07,15.94,2.49,45.33
7031,DaVinchiSq,27.69,2076,25.94,66.69,1.8,42.83
7280,DEMIAN770,32.9,9812,19.35,16.77,1.8,36.35
7338,Denis9-L,41.22,14393,24.25,14.32,2.41,44.33
7372,densdk,28.22,2737,40.62,51.55,3.21,55.71
7410,Derevtsssova,27.69,3304,21.92,41.9,1.85,44.22
7420,desdinova13,61.32,27246,19.86,11.25,2.35,42.15
7573,digitalkiwi,40.72,12999,20.15,15.66,2.28,41.86
7906,dmcrbr,44.05,17165,6.06,12.83,1.12,24.59
7965,Doberman6988,26.63,11984,9.21,11.11,2.48,38.86
8088,DonCangrejjo,33.86,5363,21.27,31.57,1.28,34.74
8441,Dudusever,69.92,5184,23.84,67.44,2.05,50.67
8936,ElGinoo1,67.1,37864,17.91,8.89,4.21,51.32
9101,enjoymeee,28.21,3231,27.07,43.66,2.14,45.67
10163,ForZaAriNdal,37.07,11713,22.12,15.82,1.62,41.36
10449,funkyfr3sh24,37.24,6521,15.2,28.55,4.33,55.72
10612,GaliRah,51.5,33738,23.52,7.63,1.62,40.04
10692,Garkonline,29.49,9982,12.97,14.77,2.82,42.3
10788,geang,26.91,7506,24.12,17.93,2.23,46.86
10806,gektor77777,29.32,18296,23.26,8.01,2.89,43.94
10834,GENJD,80.34,18231,38.19,22.03,1.1,28.79
10931,geyza15,133.05,32139,26.81,20.7,1.67,33.5
10988,GianniML,60.61,15766,16.72,19.22,2.19,39.21
11039,gimi888,35.45,18080,20.82,9.8,1.75,39.65
11050,Ginxss,37.75,12292,15.32,15.36,3.43,50.47
11081,Gitec350,35.05,11415,13.65,15.35,1.95,38.71
11269,Gomez224,43.33,13570,15.78,15.97,1.76,37.03
11303,google_8644,26.64,3028,41.86,43.99,4.49,51.56
11653,Guilhermanoo,51.1,22741,23.89,11.24,1.84,42.27
11769,gutterpuncharms,27.67,4014,24.67,34.47,2.58,50.62
11826,h1_tech_1mba,92.87,15818,16.89,29.36,2.1,42.22
12629,Huse83,31.02,5526,27.08,28.07,1.88,42.29
12787,IFG&W,26.37,3290,16.74,40.08,3.41,49.63
12872,IIstomin,41.19,3176,31.07,64.85,2.64,53.34
12891,IL ROSSOBRUNO,25.63,7316,23.12,17.52,1.47,41.14
12987,Inc4ognito,44.23,24757,12.32,8.93,2.55,45.13
13052,Inside999999,38.35,5199,29.69,36.88,1.53,40.63
13067,INTIMIDATOR69,42.45,6458,33.24,32.87,1.43,35.22
13307,j+sch1977,31.31,24368,17.34,6.42,1.17,28.32
13876,Jhonnyspring,25.27,1124,22.83,112.41,1.64,44.52
13993,JL0029,26.49,6276,19.68,21.1,1.56,41.19
14664,K.Tyrrell,47.86,19757,18.46,12.11,1.1,33.89
15119,kent330330,38.78,11636,15.32,16.66,1.51,39.95
15225,Khrenya,27.64,8359,19.37,16.53,1.56,41.42
15288,kiling1,28.83,4918,20.72,29.31,1.63,39.89
15295,killer2016ev,35.76,5335,33.69,33.51,1.18,33.3
15614,Koksmix87,30.74,7143,16.43,21.52,1.65,37.61
15851,krielo,39.27,4911,22.57,39.98,2.88,53.53
15890,Krol165,42.52,7677,23.16,27.69,1.46,30.97
15961,Kudzu_Walker,68.42,26043,18.87,13.14,1.92,45.0
15989,Kupec Danila,48.76,27852,32.83,8.75,2.01,43.8
16170,lahezis1950,43.85,9096,20.38,24.1,1.28,36.87
16587,leopoker1,26.99,6409,17.37,20.99,1.77,33.65
16806,lindlife,47.95,11476,13.89,20.89,4.22,49.63
17029,LooperTwo,31.26,2129,21.55,73.41,2.73,49.61
17106,louise sea,58.11,8112,19.12,35.82,2.12,47.86
17891,maksim-2003,37.64,21270,22.05,8.85,2.01,35.36
18096,Manuto94,52.61,18810,15.06,13.98,2.5,50.04
18366,Martin aus K,68.56,10923,24.53,31.38,1.29,38.69
18543,matt blakk,47.33,13686,31.56,17.29,2.05,46.64
18636,maverick1880,46.19,7683,13.48,30.06,1.6,33.43
18826,McPartiZano,116.98,26983,12.49,21.68,3.89,49.19
18915,MelchiorF1,116.49,21347,16.5,27.28,2.05,44.72
19208,Mike_Junction56,50.06,7061,22.28,35.45,2.84,55.87
19340,Minakhat,26.63,12258,15.73,10.82,1.55,27.62
19414,Misha.R51,25.19,1228,41.95,102.57,4.97,60.55
19416,mishabaranof,27.89,9123,15.27,15.29,1.49,32.0
19986,mr_expert1,38.89,12051,18.47,16.14,3.43,45.34
20223,MuraBesPoker,25.23,16110,12.71,7.83,2.08,41.94
20378,n2405n,33.58,2149,45.77,78.13,2.91,59.77
20408,nadokesh,29.32,30427,10.5,4.82,2.03,33.39
20901,Nikich23,30.73,6407,17.65,23.98,3.53,51.63
21347,ocrimus,51.6,16486,15.25,15.65,1.0,25.36
21657,Orange712,27.72,3643,33.08,38.05,1.72,47.33
21973,PampuLobboxX,45.54,5964,18.66,38.18,2.98,55.01
22001,panKastus,32.54,16573,16.51,9.82,2.66,45.31
22079,Parker09SA,57.64,25140,19.61,11.46,1.34,32.08
22163,Patrycjusz1125,37.29,13643,41.29,13.67,1.12,31.68
22533,pewpewstasik,32.32,10331,12.84,15.64,2.86,42.89
22731,pirognoe777,42.02,9182,13.8,22.88,3.13,48.77
23055,POLLO ISRA75,25.99,5904,22.95,22.01,0.99,30.81
23535,Quetzalcoatl007,31.98,2327,20.93,68.72,1.76,44.46
23650,Rad wings,27.53,22858,25.26,6.02,1.61,38.18
23921,RaulGBL,33.09,9780,17.65,16.92,1.7,40.46
23927,rave143,42.45,6837,23.83,31.04,2.74,57.06
24060,Redmag666,49.14,7990,15.53,30.75,1.32,33.19
24475,rjeg333,61.52,9446,18.91,32.56,1.48,35.85
24623,RockyDogRoll,32.8,1707,31.98,96.07,1.58,37.89
24788,romqa89,36.69,6328,21.43,28.99,1.55,38.39
24908,Rozgo,88.89,17216,25.58,25.82,1.28,38.44
25021,Rupsel,44.38,14692,26.3,15.1,2.19,34.48
25030,ruscalp,72.02,17814,18.2,20.21,3.46,50.8
25494,santa_tmn,103.84,24729,20.8,21.0,1.4,39.47
25582,SashkoU,29.87,12274,15.73,12.17,3.73,45.32
25728,scoobass,27.06,1960,20.9,69.03,3.49,54.1
25975,sergbgs,36.69,11321,19.4,16.2,1.7,34.85
26092,SerVzlet,27.76,2997,21.79,46.31,3.43,43.99
26350,shoka76,26.04,16325,29.61,7.98,1.09,30.29
26395,shurik-ass,40.39,7818,13.15,25.83,2.1,36.73
26660,skgolem,30.47,21114,17.34,7.22,3.09,31.15
26732,Slainie,37.43,4465,14.53,41.91,1.53,34.06
26749,SlavikPuha,138.8,44881,19.15,15.46,2.56,45.42
26766,SleepyShepherd,27.44,1484,34.1,92.45,5.81,69.37
26897,smurphy123,83.74,12006,17.66,34.87,2.36,45.64
26956,Snowman373,39.17,10014,10.6,19.56,3.49,50.8
27094,SorokkoPavel,31.55,7331,15.02,21.52,1.59,37.96
27858,superjod218,51.53,13518,14.73,19.06,2.77,41.88
28023,Sysrq03,44.81,9958,17.97,22.5,1.52,35.49
28046,SzNorbert12,42.12,25581,13.24,8.23,2.87,50.05
28081,t0m1sh,31.62,7106,18.94,22.25,1.56,46.87
28306,Tavrus32,32.35,10317,20.53,15.68,1.44,30.04
28400,tekuez,29.46,1994,25.2,73.87,1.54,39.76
28555,Thazul,48.41,2210,28.63,109.52,3.02,53.48
28639,TheDorkSlayer,36.21,4969,23.62,36.44,2.01,39.65
28899,Tiewire,27.49,1970,18.46,69.77,2.4,45.15
28901,Tigalogeh,26.53,1108,38.77,119.72,2.54,56.49
29115,TobiTee8888,26.13,8188,25.65,15.96,2.77,42.19
29117,Tobiz89,64.61,10389,13.58,31.1,4.66,47.49
29185,tomashovka55,62.61,13500,16.43,23.19,1.73,39.27
29545,TrzymamKolo,34.51,9228,16.36,18.69,1.48,33.22
29671,tutjak,64.78,15936,15.42,20.33,2.05,36.99
29690,tweetyteewt,66.43,14911,15.56,22.28,1.82,32.42
29751,tyshoux,28.27,10159,23.93,14.17,2.02,44.33
29770,U-boat101,32.95,17148,26.62,9.61,2.24,47.42
29851,umka186,104.76,49367,13.0,10.61,1.82,39.44
30004,Vadim Gomel,77.68,17013,20.71,22.74,1.51,38.79
30084,ValerkaO_o,35.51,16883,16.03,10.52,2.47,38.9
30141,vanelul,37.09,6054,20.71,30.63,1.71,36.6
30142,vanes97,25.64,3975,17.35,32.25,2.34,47.34
30704,vladimir5421,68.79,24386,18.95,14.1,1.46,35.58
30893,vsemogushchij,31.42,12904,17.97,12.17,2.22,45.94
30906,vtornik777,25.09,5963,16.94,21.04,1.99,40.37
30959,wadsy27,26.62,7976,18.02,16.69,2.45,48.4
31194,whambrown,50.52,14532,15.02,17.38,1.78,44.48
31349,withnohandlebar,54.53,8923,31.82,30.56,1.48,39.34
31440,wovos,38.95,3034,14.05,63.83,1.74,36.59
31477,wursti1706,35.02,3721,26.98,47.06,2.2,48.84
31517,Xabitpoker,33.37,12397,14.01,13.46,4.01,52.59
32013,yura5,25.73,8218,14.96,15.65,2.34,45.09
32216,zeppelin707,29.09,12124,26.49,12.0,1.1,26.63
32326,zjanicek,32.13,4633,17.14,34.68,1.46,37.86
32342,zloycooper,38.22,30624,19.83,6.24,2.48,50.9
32351,Zmey-KKAAA,25.55,9285,17.0,13.76,1.99,40.5
32378,Zog Buster,133.99,27956,11.34,23.96,1.14,31.66
